user_id,KC1,KC2,KC3,KC4,KC5,KC6,score_rate,is_test
263,0.087677255,0.01986054,0.01629168,0.6030981,0.060574118,0.06016488,0.1875,True
264,0.5004364,0.026914544,0.018593283,0.22752291,0.11522843,0.057725593,0.21875,True
265,0.16749954,0.013265848,0.009289031,0.22759286,0.02615589,0.22884414,0.15625,True
266,0.8381471,0.40532553,0.046201423,0.60418516,0.12366496,0.120881714,0.46875,True
267,0.83760846,0.0636511,0.0153324185,0.11753299,0.06098779,0.058265615,0.3125,True
268,0.17122397,0.06331957,0.04560128,0.60381776,0.40398136,0.23149875,0.3125,True
269,0.8380664,0.6046405,0.08845026,0.40306213,0.062987484,0.23166408,0.4375,True
270,0.31318387,0.12284335,0.08779192,0.60405356,0.4047104,0.12061613,0.34375,True
271,0.92072463,0.12370469,0.015371028,0.1175675,0.12107989,0.058280226,0.34375,True
272,0.30852073,0.013073397,0.018138649,0.11623362,0.2261321,0.22868517,0.21875,True
273,0.83814883,0.77515554,0.31328806,0.6042491,0.23470812,0.2321198,0.5625,True
274,0.8379494,0.23479514,0.0454615,0.22968093,0.062337294,0.11886295,0.375,True
275,0.31280482,0.030385166,0.019594606,0.60297287,0.40439644,0.22961965,0.3125,True
276,0.8380664,0.6046405,0.08845026,0.40306213,0.062987484,0.23166408,0.4375,True
277,0.08828012,0.034328304,0.04581346,0.6036327,0.12273665,0.23138781,0.25,True
278,0.8379624,0.12375732,0.01659733,0.23021987,0.06239643,0.059239045,0.34375,True
279,0.17156023,0.23472852,0.17143117,0.6040027,0.2342922,0.23171455,0.34375,True
280,0.16942084,0.12276123,0.08166191,0.116511956,0.22906901,0.39921156,0.3125,True
281,0.69615066,0.063677,0.02444017,0.11773171,0.121948116,0.058269497,0.3125,True
282,0.8381447,0.23481758,0.026222378,0.60415363,0.123657614,0.060800176,0.4375,True
283,0.08647319,0.062510565,0.04560808,0.4007571,0.026851907,0.2310515,0.1875,True
284,0.6960466,0.06367617,0.04458736,0.117721304,0.23249552,0.39991656,0.375,True
285,0.5049118,0.063721105,0.016993918,0.6039686,0.123622276,0.060481504,0.34375,True
286,0.83733356,0.12353103,0.011353888,0.116940804,0.121227175,0.057664737,0.3125,True
287,0.9200055,0.23448052,0.020231929,0.11689215,0.40173495,0.22876061,0.40625,True
288,0.088077195,0.03394696,0.025483347,0.60325426,0.12193574,0.06019869,0.21875,True
289,0.8378957,0.23478723,0.086814746,0.117920294,0.40393206,0.22940542,0.4375,True
290,0.08647319,0.062510565,0.04560808,0.4007571,0.026851907,0.2310515,0.1875,True
291,0.8381471,0.40532553,0.046201423,0.60418516,0.12366496,0.120881714,0.46875,True
292,0.08415041,0.013754758,0.019296126,0.39845362,0.055157565,0.11821606,0.15625,True
293,0.92125297,0.40532547,0.08852499,0.6042545,0.40521365,0.121092945,0.53125,True
294,0.83790046,0.23478775,0.16993253,0.117935225,0.60327476,0.39991882,0.46875,True
295,0.9211397,0.6046326,0.046156056,0.40336707,0.23397987,0.06059567,0.4375,True
296,0.83814734,0.6046478,0.17160717,0.6042005,0.23470566,0.4024801,0.53125,True
297,0.16958348,0.018789694,0.045844633,0.40150622,0.05576247,0.12047982,0.21875,True
298,0.8381449,0.23481764,0.046195745,0.6041622,0.23469843,0.12087614,0.46875,True
299,0.92087567,0.40528104,0.08681613,0.11788167,0.6026983,0.22941613,0.46875,True
300,0.1711199,0.031797618,0.04110571,0.60279524,0.12256183,0.22975361,0.28125,True
301,0.83760846,0.0636511,0.0153324185,0.11753299,0.06098779,0.058265615,0.3125,True
302,0.086041644,0.018241093,0.045448463,0.40096357,0.055555455,0.12017515,0.1875,True
303,0.83814734,0.23481824,0.08851797,0.6042278,0.23470406,0.12103967,0.5,True
304,0.08525297,0.010173168,0.022746187,0.22853808,0.0553365,0.11878461,0.15625,True
305,0.92117614,0.60463965,0.046164718,0.40386584,0.123243265,0.12066328,0.4375,True
